Fixed/Offset Slit,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,
Detector,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,

625.00,1.36309326E+4,1.14926807E+4,1.41833994E+4,1.39139873E+4,1.44971465E+4,1.64307813E+4,1.86406504E+4,2.57579277E+4,3.08290293E+4,3.29775117E+4,3.50816641E+4,3.10472891E+4,2.27534609E+4,1.68229648E+4,1.50462031E+4,1.37775752E+4,1.42720674E+4,1.55441064E+4,1.44050684E+4,1.36002402E+4,1.66558613E+4,1.75493574E+4,1.30682344E+4,6.64324658E+3,3.44098364E+3,2.74187378E+3,2.40084473E+3,2.30194629E+3,2.00866138E+3,1.61306763E+3,1.24816650E+3,
630.00,1.23378301E+4,1.07496123E+4,1.30372285E+4,1.29607324E+4,1.37002002E+4,1.50115732E+4,1.66107188E+4,2.42385352E+4,2.91707539E+4,3.05804785E+4,3.24346152E+4,2.90833301E+4,2.25483223E+4,1.77545273E+4,1.57656123E+4,1.52410635E+4,1.55543359E+4,1.67054297E+4,1.51281396E+4,1.47092285E+4,1.78164531E+4,1.84684961E+4,1.30263008E+4,6.11245313E+3,2.94694556E+3,2.39325488E+3,2.10912427E+3,2.06176904E+3,1.80677991E+3,1.55907629E+3,1.27130286E+3,
635.00,1.21447012E+4,1.01426133E+4,1.25023555E+4,1.23235283E+4,1.35247803E+4,1.48465469E+4,1.67786582E+4,2.31659004E+4,2.75627168E+4,2.99185723E+4,3.09332207E+4,2.84918418E+4,2.39084219E+4,1.97720703E+4,1.79254844E+4,1.70391230E+4,1.75172930E+4,1.92161504E+4,1.76183691E+4,1.73695664E+4,2.06117813E+4,2.09033477E+4,1.44850049E+4,6.44944238E+3,2.86512305E+3,2.45304297E+3,2.04096289E+3,1.91656128E+3,1.80382239E+3,1.46171814E+3,1.36452942E+3,
640.00,1.19157637E+4,9.78705762E+3,1.20737529E+4,1.24770430E+4,1.34748740E+4,1.47096895E+4,1.65806230E+4,2.21851055E+4,2.67418672E+4,2.87042676E+4,2.97603047E+4,2.88955176E+4,2.54114258E+4,2.15448301E+4,1.97113164E+4,1.96905293E+4,1.93038691E+4,2.17735000E+4,2.03890098E+4,1.96863711E+4,2.29501094E+4,2.36236445E+4,1.62979033E+4,7.46294336E+3,3.13069434E+3,2.55278394E+3,2.10791772E+3,1.92913965E+3,1.59237170E+3,1.43853943E+3,1.33459875E+3,
645.00,1.10205244E+4,9.40798242E+3,1.15149775E+4,1.13278877E+4,1.20227949E+4,1.40184277E+4,1.57378789E+4,2.08650508E+4,2.53284961E+4,2.70524023E+4,2.85936719E+4,2.69187676E+4,2.38005918E+4,2.11946875E+4,1.99206895E+4,1.93727813E+4,2.01790527E+4,2.22058672E+4,2.04953242E+4,1.95598711E+4,2.39208633E+4,2.37605000E+4,1.70831484E+4,7.55934912E+3,3.06472144E+3,2.74844922E+3,2.12035962E+3,1.89317822E+3,1.59917871E+3,1.46108813E+3,1.15817957E+3,
650.00,1.04073418E+4,8.83525000E+3,1.02878818E+4,1.02209844E+4,1.17357354E+4,1.30927998E+4,1.45454316E+4,1.98733398E+4,2.30509727E+4,2.48094219E+4,2.66491035E+4,2.38059590E+4,2.21000723E+4,1.94098359E+4,1.77278418E+4,1.79667617E+4,1.74554727E+4,1.99020117E+4,1.89941152E+4,1.81626758E+4,2.11730645E+4,2.17082441E+4,1.70158613E+4,7.82700928E+3,3.36876782E+3,2.44175928E+3,2.03081738E+3,1.55775647E+3,1.82534656E+3,1.13247937E+3,1.08469543E+3,
655.00,9.42318164E+3,7.63097949E+3,9.28453027E+3,1.01831982E+4,1.05118545E+4,1.19651299E+4,1.33619170E+4,1.85793301E+4,2.15064219E+4,2.30315918E+4,2.45978418E+4,2.25283359E+4,2.02893672E+4,1.77217441E+4,1.63506318E+4,1.66125293E+4,1.68282109E+4,1.86717637E+4,1.78809355E+4,1.73982227E+4,1.98990898E+4,1.88720391E+4,1.54160166E+4,7.41016406E+3,3.32764111E+3,2.54194824E+3,1.95652979E+3,1.71517310E+3,1.56625085E+3,1.46868115E+3,1.07840222E+3,
660.00,8.83044336E+3,7.19927197E+3,8.91338379E+3,8.95208984E+3,1.01409102E+4,1.13739648E+4,1.25904316E+4,1.75060645E+4,1.99887617E+4,2.13324043E+4,2.25986367E+4,2.04477012E+4,1.80202969E+4,1.64333613E+4,1.45478369E+4,1.48630127E+4,1.46197197E+4,1.66047715E+4,1.61347734E+4,1.55320693E+4,1.75890039E+4,1.68370059E+4,1.40446621E+4,7.12186035E+3,3.26234277E+3,2.82552075E+3,1.91317053E+3,1.52058350E+3,1.46528955E+3,1.19434924E+3,9.51055908E+2,
665.00,7.70822852E+3,6.85375049E+3,7.35568164E+3,8.06675049E+3,8.99890820E+3,1.01103271E+4,1.09946826E+4,1.51893926E+4,1.76273438E+4,1.89240000E+4,2.03580879E+4,1.79798906E+4,1.55060869E+4,1.36537227E+4,1.22495098E+4,1.17475791E+4,1.30561855E+4,1.37134756E+4,1.29307021E+4,1.30263086E+4,1.55837676E+4,1.48667227E+4,1.21837813E+4,6.18450879E+3,2.95780859E+3,2.39612378E+3,1.85834033E+3,1.55359644E+3,1.47591663E+3,1.15922192E+3,9.50083984E+2,
670.00,6.85600732E+3,5.64003613E+3,7.07591699E+3,7.25055127E+3,7.69037061E+3,8.72523926E+3,1.01223125E+4,1.38478418E+4,1.58981758E+4,1.75022227E+4,1.81360801E+4,1.62862520E+4,1.39060527E+4,1.14223672E+4,1.10860342E+4,1.00123584E+4,1.04909854E+4,1.15387900E+4,1.07173623E+4,1.06397471E+4,1.28711836E+4,1.18363145E+4,1.08079131E+4,5.18081299E+3,2.59364063E+3,2.11501367E+3,1.80455286E+3,1.57170740E+3,1.39060522E+3,9.18446289E+2,8.53766968E+2,
